input_ids,token_type_ids,attention_mask
"[[101, 11518, 1012, 4002, 102]]","[[0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1]]"
"[[101, 1038, 5620, 17151, 14289, 4246, 1011, 29461, 10695, 26432, 17499, 2140, 6519, 17151, 5054, 3217, 28362, 6205, 17914, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 2321, 1012, 2184, 102]]","[[0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1]]"
"[[101, 1038, 5620, 2002, 14643, 7630, 6199, 16216, 28522, 3366, 2456, 15231, 6391, 2683, 2629, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 2603, 1012, 2403, 102]]","[[0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1]]"
"[[101, 17712, 5283, 16216, 12173, 11624, 23057, 7512, 12943, 17112, 2324, 1011, 3938, 6053, 2140, 7276, 2821, 2638, 17712, 5283, 6151, 2821, 2638, 14804, 26320, 4017, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 22238, 1012, 4002, 102]]","[[0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1]]"
"[[101, 27132, 1016, 1011, 6080, 17712, 5283, 1011, 8945, 8093, 11624, 2527, 21436, 14689, 2226, 2260, 1039, 2260, 6767, 7096, 1016, 1010, 1019, 4430, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 14748, 1012, 5594, 102]]","[[0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1]]"
"[[101, 27132, 1016, 1011, 6080, 17712, 5283, 1011, 8945, 8093, 11624, 2527, 21436, 14689, 2226, 2260, 1039, 2260, 6767, 7096, 1016, 1010, 1019, 4430, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 14748, 1012, 5594, 102]]","[[0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1]]"
"[[101, 3393, 4135, 23401, 2072, 1017, 102]]","[[0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1]]"
"[[101, 16621, 1012, 5345, 102]]","[[0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1]]"
"[[101, 11684, 8040, 6979, 2232, 102]]","[[0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1]]"
"[[101, 5585, 1012, 5345, 102]]","[[0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1]]"
"[[101, 2303, 1011, 5024, 2474, 2102, 1011, 16950, 2290, 20228, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 17222, 1012, 6021, 102]]","[[0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1]]"
"[[101, 6812, 21031, 2595, 7276, 15007, 4583, 2475, 2072, 7658, 9834, 13462, 1010, 1016, 1010, 1017, 1011, 2603, 1010, 1022, 2243, 2290, 2310, 12096, 5349, 8237, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 1012, 2539, 1012, 4868, 2575, 1012, 4002, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 10819, 6961, 2102, 11240, 4014, 11263, 8950, 5302, 8566, 2140, 6519, 21934, 10556, 19731, 2078, 1011, 9686, 5302, 29345, 8889, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 25926, 1012, 3938, 102]]","[[0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1]]"
"[[101, 3449, 12696, 2638, 6593, 1016, 1011, 2126, 11962, 7911, 10867, 6508, 13473, 2213, 1064, 2275, 1028, 8827, 2102, 2078, 1013, 12997, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 4720, 2683, 1012, 3938, 102]]","[[0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1]]"
"[[101, 5519, 1048, 27698, 2002, 1030, 1040, 1014, 1012, 1015, 18939, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 1021, 1012, 4002, 102]]","[[0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1]]"
"[[101, 24665, 2080, 17499, 5416, 4270, 1011, 3482, 26297, 8751, 4520, 3854, 26297, 8751, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 6535, 1012, 4002, 102]]","[[0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1]]"
"[[101, 10304, 20934, 7352, 8525, 7317, 2632, 17897, 14808, 2184, 1011, 29058, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 6535, 2683, 1012, 102]]","[[0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1]]"
"[[101, 17235, 10497, 19098, 17235, 6132, 18098, 4710, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 1017, 1012, 3486, 102]]","[[0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1]]"
"[[101, 17235, 10497, 19098, 17235, 6132, 18098, 4710, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 1017, 1012, 3486, 102]]","[[0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1]]"
"[[101, 2030, 2705, 19506, 2140, 17489, 2382, 2022, 10421, 2140, 12604, 7068, 2102, 1013, 10556, 4523, 1012, 12849, 14905, 11514, 8684, 5575, 1006, 1015, 2358, 2243, 1007, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 4008, 1012, 4464, 102]]","[[0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1]]"
"[[101, 12452, 2063, 5450, 1006, 1017, 2595, 16086, 19875, 1007, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 5179, 1012, 5585, 102]]","[[0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1]]"
"[[101, 6887, 22123, 10085, 7054, 2063, 6829, 3424, 1011, 5292, 5400, 2271, 13976, 23713, 18083, 2368, 18569, 1006, 2079, 27877, 23947, 1007, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 4724, 1012, 4466, 102]]","[[0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1]]"
"[[101, 14866, 2078, 27713, 2015, 18059, 100, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 1015, 1012, 4601, 2683, 1012, 4002, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 26358, 16294, 2072, 6655, 2239, 23736, 12879, 13716, 6528, 9530, 16748, 2102, 1039, 4160, 14233, 17643, 2226, 1013, 11417, 19310, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 4724, 2581, 1012, 6079, 102]]","[[0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1]]"
"[[101, 13970, 8661, 27292, 4017, 3126, 24665, 11631, 2063, 2417, 6829, 2462, 10381, 21716, 10210, 1018, 8318, 1012, 15635, 1011, 3998, 2620, 14142, 24096, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 6640, 2581, 1012, 4002, 102]]","[[0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1]]"
"[[101, 6532, 17868, 14376, 2871, 2620, 19841, 8889, 2692, 6519, 6532, 13159, 2906, 3490, 20689, 24665, 11631, 2063, 4989, 14291, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 2340, 1012, 3938, 102]]","[[0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1]]"
"[[101, 28616, 29109, 2050, 20298, 11417, 7295, 6776, 3215, 2098, 22753, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 2403, 1012, 3938, 102]]","[[0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1]]"
"[[101, 22894, 25032, 20175, 27215, 1052, 10258, 7033, 2102, 11867, 9257, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 2484, 1012, 3938, 102]]","[[0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1]]"
"[[101, 11477, 19833, 12848, 1011, 9543, 2618, 11865, 2121, 9330, 1038, 3501, 2278, 1011, 1016, 1013, 5641, 24087, 2050, 8889, 2475, 13012, 1011, 3609, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 1017, 1012, 4868, 102]]","[[0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1]]"
"[[101, 9587, 28727, 5092, 21133, 2401, 1011, 10556, 16020, 2063, 9686, 20110, 2080, 1010, 5539, 2290, 25957, 4371, 8945, 7295, 2368, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 1017, 1012, 3438, 102]]","[[0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1]]"
"[[101, 9587, 28727, 5092, 21133, 2401, 1011, 10556, 16020, 2063, 9686, 20110, 2080, 1010, 5539, 2290, 25957, 4371, 8945, 7295, 2368, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 1017, 1012, 3438, 102]]","[[0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1]]"
"[[101, 1049, 1009, 1055, 3467, 2890, 29323, 2078, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 4261, 2683, 2683, 1012, 102]]","[[0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1]]"
"[[101, 1047, 2475, 7987, 6633, 22747, 7393, 5332, 2290, 29501, 2102, 11089, 1018, 1010, 1015, 23675, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 22096, 1012, 102]]","[[0, 0, 0, 0]]","[[1, 1, 1, 1]]"
"[[101, 3260, 1048, 2595, 1011, 1015, 2304, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 14378, 1012, 4002, 102]]","[[0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1]]"
"[[101, 11721, 17080, 2638, 13756, 2595, 18827, 2629, 4642, 24665, 4887, 1011, 9808, 2368, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 2656, 1012, 4464, 102]]","[[0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1]]"
"[[101, 4830, 2818, 8758, 16913, 7068, 9915, 2080, 16029, 9033, 20850, 2121, 12392, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 18914, 1012, 6365, 102]]","[[0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1]]"
"[[101, 8040, 7295, 4402, 3489, 25970, 13913, 1013, 3515, 1011, 2403, 2482, 2487, 1011, 21766, 2094, 22649, 2629, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 4583, 1012, 4002, 102]]","[[0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1]]"
"[[101, 2678, 10722, 2869, 28139, 14856, 20679, 1018, 1011, 2852, 4430, 2102, 10210, 9537, 2818, 10483, 22747, 16814, 3508, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 4724, 2683, 1012, 4002, 102]]","[[0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1]]"
"[[101, 2678, 10722, 2869, 28139, 14856, 20679, 1016, 1011, 2852, 4430, 2102, 2717, 19894, 2368, 16950, 2213, 2365, 4063, 28139, 2483, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 23688, 1012, 4002, 102]]","[[0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1]]"
"[[101, 6643, 14756, 12096, 11795, 1000, 2317, 2047, 21291, 7377, 3165, 27566, 1000, 1010, 3438, 4642, 1006, 1015, 2358, 1012, 1007, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 1021, 1012, 5585, 102]]","[[0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1]]"
"[[101, 4241, 6199, 8865, 2497, 5283, 12439, 2078, 11417, 7295, 6776, 3215, 6494, 2819, 1006, 1020, 2358, 1012, 1007, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 1020, 1012, 5585, 102]]","[[0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1]]"
"[[101, 17207, 4648, 3630, 4013, 4179, 19087, 9413, 16846, 2480, 10278, 5051, 6519, 6090, 3022, 12356, 3802, 1011, 21348, 16703, 2692, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 4466, 1012, 3938, 102]]","[[0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1]]"
"[[101, 17207, 4648, 3630, 4013, 4179, 19087, 9413, 16846, 2480, 10278, 5051, 6519, 6090, 3022, 12356, 3802, 1011, 21348, 16703, 2692, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 4466, 1012, 3938, 102]]","[[0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1]]"
"[[101, 1017, 1011, 1056, 2140, 2290, 1012, 3336, 5831, 15810, 20417, 4469, 13578, 4183, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 1015, 1012, 5401, 2629, 1012, 6535, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 11320, 15985, 13082, 1017, 2121, 2275, 1011, 7563, 2063, 1011, 1037, 2549, 1011, 29058, 1013, 11417, 19310, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 2340, 1012, 4749, 102]]","[[0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1]]"
"[[101, 26283, 2078, 3712, 28712, 10710, 2140, 1012, 6904, 7096, 10230, 5403, 1006, 22238, 1007, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 4720, 2620, 1012, 4029, 102]]","[[0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1]]"
"[[101, 21510, 1011, 2522, 5332, 2785, 6906, 16161, 28032, 2480, 7247, 5863, 2417, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 18253, 1012, 4583, 102]]","[[0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1]]"
"[[101, 2067, 2000, 10622, 102]]","[[0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1]]"
"[[101, 5594, 1012, 4002, 102]]","[[0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1]]"
"[[101, 2067, 2000, 10622, 102]]","[[0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1]]"
"[[101, 5594, 1012, 4002, 102]]","[[0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1]]"
"[[101, 11032, 8348, 6429, 6804, 2386, 4895, 5562, 2595, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 2321, 1012, 4002, 102]]","[[0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1]]"
"[[101, 11032, 8348, 6429, 6804, 2386, 4895, 5562, 2595, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 2321, 1012, 4002, 102]]","[[0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1]]"
"[[101, 28352, 8791, 2192, 1998, 3329, 2729, 2843, 3258, 5018, 19875, 1000, 2047, 1000, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 2321, 1012, 4002, 102]]","[[0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1]]"
"[[101, 28352, 8791, 18414, 13344, 1011, 8934, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 5139, 1012, 3938, 102]]","[[0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1]]"
"[[101, 21290, 16118, 11631, 2099, 11113, 12617, 3217, 8093, 23951, 3217, 8093, 6728, 2884, 2004, 6494, 1012, 1012, 1012, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 2861, 1012, 3938, 102]]","[[0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1]]"
"[[101, 3347, 6806, 9102, 5477, 3022, 2080, 2358, 7245, 10210, 1018, 1011, 11865, 19310, 16216, 13473, 3363, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 18914, 1012, 3938, 102]]","[[0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1]]"
"[[101, 20934, 7352, 8525, 7317, 16270, 4221, 28145, 3709, 2121, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 14748, 1012, 3938, 102]]","[[0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1]]"
"[[101, 17956, 13896, 8337, 7770, 4063, 2760, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 5139, 1012, 5585, 102]]","[[0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1]]"
"[[101, 10556, 21547, 20116, 1011, 2340, 1059, 3617, 19312, 3630, 11417, 19310, 21929, 25619, 5802, 2480, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 1017, 1012, 25897, 1012, 4002, 102]]","[[0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1]]"
"[[101, 8915, 16093, 2884, 8740, 2890, 4747, 2613, 12849, 14376, 16892, 2099, 1011, 11417, 19310, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 5585, 1012, 3938, 102]]","[[0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1]]"
"[[101, 5003, 23615, 2050, 17712, 5283, 1011, 8040, 13492, 21436, 5622, 1011, 10163, 2324, 2615, 1010, 3948, 20315, 2546, 2692, 2620, 2509, 2480, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 15170, 1012, 4002, 102]]","[[0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1]]"
"[[101, 2632, 1011, 12849, 13103, 25108, 1011, 1039, 1016, 1010, 1016, 6448, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 4090, 2620, 1012, 2753, 102]]","[[0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1]]"
"[[101, 2440, 11624, 4887, 2213, 29491, 8670, 12717, 2102, 1013, 13004, 9683, 19968, 102]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]"
"[[101, 2403, 1012, 2871, 102]]","[[0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1]]"
